TFOPWG Disposition,TESS Mag,Epoch (BJD),Period (days),Duration (hours),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Predictions
PC,9.45661,2458382.33384,10.7510106578568,2.94342403333374,638.092856572126,2.35818268521362,90.8412637790967,787.391172247156,101.694,5784.0,4.438,0.918917000293732,1
PC,9.45661,2458392.104974,6.19132,3.4164,345.240264,1.759371,219.127827884996,981.282679002903,101.694,5784.0,4.438,0.929557,0
PC,10.0733,2458385.127279,5.06617500732187,6.29924087517537,1350.0,7.69012,311.339719822195,1071.34261958635,320.497,5868.0,3.57327,2.17,1
PC,10.5012,2459168.429762,11.4707838,3.698,1575.0,1.86599,30.2417,653.0,74.3761,4140.0,4.46332,0.73,1
PC,9.9955,2458383.488609,10.1843061384695,1.72931305064769,839.989691481368,2.44970612157016,59.4579709817458,708.226659560833,99.66,5454.0,4.59104,0.782680988311768,1
PC,10.5041,2459385.65795,5.5765284,2.28,570.0,4.28325,779.716,1472.0,283.856,6002.18,4.12354,1.52,0
PC,9.6768,2459954.289561,17.6175468,3.716,685.0,1.96821,24.3053,618.0,82.7013,5250.0,4.64176,0.81,1
PC,12.1677,2458361.663925,32.332528,3.459632,2425.505189,3.028709,2.75641635639541,328.629052109456,115.801,3891.0,4.64044,0.615038,0
PC,9.1059,2460033.25284,4.5117313,1.704,315.0,1.43823,105.042,891.0,59.2293,5245.0,4.57666,0.79,1
PC,9.1059,2459997.573861,39.3617061,4.337,556.0,1.72925,6.89049,451.0,59.2293,5245.0,4.57666,0.79,1
PC,12.3611,2458356.03117,3.78181200049672,2.0119422347121,15538.919537751,20.4146503012008,601.485521724129,1263.06599816893,486.856,5807.0,4.32,1.17009,0
PC,8.97174,2458364.463521,711.744652213274,6.79419298550109,1532.13036449968,8.99064142713383,2.23973975674766,312.010449623247,215.387,6530.0,3.96,2.02086997032166,1
PC,13.2806,2458363.14559,10.3692425648657,2.50760274050533,15098.6658780889,9.52242455334696,32.4162546319613,608.569886113227,295.784,4463.0,4.49,0.789514,1
PC,13.1066,2458355.52978,25.2584,3.48,9380.0,9.01035,9.35124,487.0,471.798,5290.0,4.45,0.95,1
PC,13.1099,2458358.77289,5.67116,1.783,5840.0,9.45482,81.6876,837.0,461.513,4871.0,4.26,1.09,0
PC,12.3012,2458354.69581,5.72161990878124,3.63540660621562,5422.342805493,8.85116733128664,310.563663622327,1070.67437817438,447.784,5541.0,4.28,1.19313,1
PC,12.0684,2459109.48007,3.74405,2.919,1750.0,7.18171,613.134,1386.0,667.745,6048.0,4.03,1.7,0
PC,12.9317,2458356.68237,6.70145,1.579,10940.0,8.15246,10.4754,501.0,195.124,4130.0,4.51,0.74,1
PC,12.3294,2458364.10083,9.94915,3.968,22920.0,24.5989,110.866,903.0,689.883,5852.0,4.03,1.65,0
PC,13.1198,2459091.687188,6.16679,2.163,7820.0,24.0503,254.527,1112.0,738.175,5747.0,4.24,1.28,0
PC,12.4191,2458356.58788,4.26956,3.575,7660.0,11.9375,497.177,1315.0,557.751,5798.0,4.22,1.3,1
PC,11.1741,2458355.59503,10.18108,3.674,1190.0,2.66019,57.0026,765.0,131.567,4822.0,4.55,0.78,0
PC,12.9238,2459449.442335,3.32628348850358,2.94801179986569,25382.6279206543,15.1371973575872,371.947647837047,1120.05720406676,446.344,5391.0,4.46,0.947584986686707,1
PC,13.2316,2458327.33174,3.74624334761492,2.15123147298782,19428.8372991987,11.8924474159607,142.432268201934,881.093195244164,319.923,4696.0,4.53,0.775888,1
PC,13.3547,2458355.57459,2.77239154333576,1.82233689252042,5882.01943541182,5.84382528104057,193.935173364126,951.774128044412,315.141,4558.0,4.52,0.775641,0
PC,13.4081,2458357.7274,5.28502063602228,4.74107098171423,26595.8319489519,21.1077461215517,523.256020147337,1219.82718553968,944.552,6113.0,4.29,1.27295,0
PC,12.004,2458357.72126,4.36907,1.308,3970.0,5.94716,26.8795,634.0,180.753,4391.0,4.36,0.9,0
PC,13.4573,2458362.96027,10.05525597142,3.37097624302584,12862.9072379921,20.9848966877373,223.393928885386,986.024238963719,958.071,5960.0,4.23,1.31971,0
PC,12.7703,2458355.80666,4.47894,1.311,6430.0,14.7425,286.906,1146.0,659.967,6074.0,4.33,1.2,0
PC,10.6929,2459090.796111,5.70433014101753,4.31935618004511,910.034925398469,5.35484938970965,576.868959678982,1249.9396429209,284.388,5560.5,4.01,1.61147999763489,1
PC,12.8696,2458355.6917,4.27955476986651,2.40356401793183,17490.8003521387,9.12358671628699,74.8929519268729,750.291431537242,200.326,4314.0,4.57,0.703041,1
PC,13.0261,2459141.054998,2.4843369,1.154,4450.0,8.59746,160.141,991.0,939.136,5608.0,3.94,1.76,0
PC,11.5273,2459062.446886,0.77685,1.43,830.0,3.28324,4180.32,2240.0,222.852,5190.0,4.42,0.96,0
PC,11.5166,2458355.55844,3.79069,2.661,1200.0,3.9785,583.33,1369.0,352.269,6150.0,4.4,1.13,0
PC,13.3302,2458355.75117,1.81383,1.113,13170.0,11.581,120.54,923.0,415.551,4775.0,4.38,0.94,1
PC,12.4115,2459112.51263,1.75807,1.292,1967.0,5.77485,507.461,1322.0,519.27,5885.0,4.31,1.2,0
PC,11.9221,2458358.25733,6.06685333340284,3.08241414502157,7290.42076245326,9.43237428972711,316.791198722007,1076.00187070422,404.201,6149.0,4.44,1.0794,1
PC,13.5263,2458362.15706,11.2187717934563,3.26914367965273,11434.6520657709,9.61301471151015,57.972233745698,703.760290485508,516.33,5136.0,4.47,0.903365,1
PC,12.7291,2458354.79225,8.28154,2.317,14010.0,30.0184,184.89,1027.0,745.217,6177.0,4.25,1.35,0
PC,11.2043,2458355.18601,4.04003,0.196,832.0,12.106,1.86549,325.0,344.084,5692.2,4.1,1.48,0
PC,12.2494,2459112.36055,0.49346,1.79,1660.0,6.07416,19124.6,3276.0,607.923,5879.0,4.11,1.51,0
PC,10.9767,2459088.426719,1.03733669426054,0.844118310685471,1129.09022461973,4.60481417073014,4759.48748938522,2118.40892250233,313.032,6049.0,4.25,1.31649994850159,0
PC,13.0524,2458358.03764,5.76946,3.566,3830.0,10.469,269.636,1128.0,835.557,5499.0,4.01,1.6,0
PC,12.8895,2458356.32633,9.10408665970085,1.8450607780648,15909.0934490164,17.6003853935775,164.938585737707,914.008671747845,579.028,5467.0,4.26,1.20905,0
PC,12.5633,2458357.85959,7.11686,2.09,4550.0,7.04524,68.1786,800.0,451.998,5692.0,4.41,1.03,0
PC,13.5477,2458354.48285,1.70257772693735,1.89733787778424,7441.76193786515,12.2814977052924,1762.7023914461,1652.58763136019,841.958,5504.0,4.21,1.27966,0
PC,13.5134,2458354.28979,4.0462924075272,3.03692930578635,27753.2428971136,18.26697501939,446.101720579682,1172.13659223701,748.227,5805.0,4.41,1.05486,1
PC,12.6635,2459088.520886,3.48139,2.277,4420.0,6.83771,416.738,1258.0,383.318,5389.0,4.49,0.91,0
PC,12.9998,2458356.62212,5.48118606328139,3.78147273835373,7887.39275938704,11.4828496840762,419.479768392089,1154.24367781949,702.626,5719.0,4.23,1.28194,1
PC,12.4502,2459062.451186,2.75099153912624,2.00121686635945,10585.0733958571,12.5905340815013,587.646920867933,1255.73750589453,398.356,5317.0,4.34,1.07114005088806,1
PC,10.0139,2460012.501425,5.1119789,1.326,1017.0,9.86297,392.193,1239.0,627.07,8562.0,3.91,2.67,0
PC,11.2828,2458388.56746,13.1757294345325,2.15702723128186,2479.34771378052,1.96023728527943,2.64531736479386,325.266394205256,31.0597,3349.0,4.94138,0.388608992099762,0
PC,11.2828,2458385.38837,6.61491101611225,0.965460471736427,1060.57158192671,1.27315538404388,6.62946778932835,409.250685729343,31.0597,3349.0,4.94138,0.388608992099762,1
PC,8.96,2458438.292151,0.633337173732163,0.621708929896425,1063.78000269606,4.49570885771404,9433.55118343649,2513.55592300963,124.504,5999.0,4.22,1.34654998779297,0
PC,9.59689,2458438.524066,1.32050371000698,2.01555193258731,469.453748148441,2.16117345058722,1677.15719472071,1632.16173531093,113.59,5731.0,4.46,0.989260017871857,0
PC,10.1672,2459129.91623,0.0,10.283,8988.0,10.2814,139.877,958.0,120.218,5216.0,4.43,0.95,0
PC,12.9383,2458411.844766,3.35290698241063,2.39067309996364,4205.19610156964,5.29331964085053,76.2487269399235,753.664221864143,165.285,3978.0,4.438,0.672832012176514,0
PC,9.4464,2459522.143859,5.8123478,1.918,860.0,2.53963,140.061,958.0,72.4646,5210.8,4.58,0.8,1
PC,9.0567,2458417.605025,17.9635082681689,4.42979578733271,1266.94519003137,3.29701974012549,23.4693523131703,561.364604400831,57.3973,5229.0,4.55429,0.794471025466919,1
PC,9.1577,2459199.549231,0.7649571,1.094,1900.0,12.9538,12939.9,2971.0,176.617,6307.9,3.97,1.65,0
PC,9.6438,2458414.165631,17.5288346530473,2.1115133195407,1131.50756807923,2.8950077883642,25.4510625725321,572.857006509915,76.6986,5164.0,4.5371,0.829518973827362,1
PC,8.8723,2458416.351956,10.9245477964911,1.87164767616822,653.537141010675,1.90150181418974,35.2426680036293,621.422457696108,45.5621,4884.0,4.49,0.74413001537323,1
PC,10.6573,2458414.818405,4.10750115993065,3.51801558810901,914.309902602994,4.69367695501041,445.43437957119,1171.69798487046,205.366,5205.0,4.45924,1.30054998397827,0
PC,10.6995,2458474.494915,12.1914558295666,3.31881271330776,2625.05707367915,4.61313189636544,44.7551380811734,659.675682273464,130.46,5418.0,4.57259,0.840970993041992,0
PC,10.8835,2458442.486555,8.26176630022218,2.56633071449768,1418.33089847495,2.34145360027592,18.8227715581806,531.239846372898,58.7502,4105.0,4.60015,0.619400024414062,1
PC,8.8742,2459982.990599,3.0629874,3.284,6160.0,14.75,2303.34,1930.0,244.897,7691.0,4.11671,2.05,1
PC,6.7799,2458469.562003,6.86595824422574,3.45576104475193,334.014558870257,2.81449145017817,531.520984790177,1224.61578594826,54.5306,6212.63,4.438,1.50004005432129,0
PC,9.36854,2460036.789256,1.7447021,0.987,168.0,0.633718,135.269,950.0,15.2142,3445.0,4.85243,0.43,1
PC,11.4479,2459575.213744,5.9444406,2.095,2490.0,4.14165,29.7313,650.0,107.355,4383.0,4.56546,0.81,1
PC,10.0854,2459987.549589,1.7018818,1.551,570.0,1.96356,400.827,1246.0,89.9559,4985.0,4.67,0.8,1
PC,10.1374,2459984.936468,8.5334865,2.369,1756.0,4.14687,130.53,941.0,158.659,5997.0,4.45722,0.97,1
PC,10.3773,2458493.778447,2.94126939125399,1.62232594784039,2421.36967534003,8.83355657020136,990.292179508738,1430.73956438911,215.387,5642.0,4.16735,1.21355998516083,0
PC,13.2304,2458492.096172,0.89946770091991,1.20666675437893,58768.353615353,17.1200078310835,133.466766825742,866.881327294308,110.884,3338.0,4.9469,0.505078017711639,0
PC,8.9767,2458471.218204,7.18873321303685,2.95057521365425,285.257998998963,1.52545822694883,112.461901743896,830.560179450256,67.3975,5581.0,4.52166,0.882674992084503,1
PC,8.9767,2459201.06601,20.2749388,5.788,410.0,1.74398,56.5944,764.0,67.3975,5581.0,4.52166,0.88,1
PC,13.7988,2459552.347291,3.11489170144463,2.36263211087018,25584.0432269237,11.9721077960683,198.092302339249,956.834111040804,442.813,4973.0,4.438,0.749559998512268,1
PC,10.1432,2458495.790236,17.87897,2.124101,976.801579,3.618524,63.765593417662,720.719630057148,159.814,5596.0,4.32233,1.13674,0
PC,9.3777,2458468.652117,0.523613019461587,2.30045209602337,82.9259400556256,1.48616445816792,26568.3567101947,3256.19888272925,222.315,7450.0,4.33986,1.52948999404907,0
PC,12.4029,2459575.796634,1.5428518,1.146,2090.0,1.99486,58.3426,769.0,60.9425,3439.0,4.97486,0.42,1
PC,7.3645,2458491.691303,0.39785338001402,1.59018036128905,45.6908928144459,1.35423981940631,58134.0918710092,3960.29440959839,111.179,7381.0,4.438,1.86219000816345,0
PC,8.7784,2458471.007595,14.8608018601838,6.19326248603688,556.602721207399,4.44040925511459,239.047559474458,1002.86119774843,152.042,7064.0,4.22374,1.62231004238129,0
PC,10.9621,2458332.699002,19.5715087749633,4.28892132753467,1726.15462335102,3.92758935816097,20.1363146846781,540.27484444775,123.391,4666.1,4.23,0.885680019855499,1
PC,10.5958,2458354.106654,0.309601708987367,0.984342189174257,248.248568152562,1.52321310662299,4942.48096365875,2138.48397854496,108.368,4836.0,4.44968,0.813125014305115,0
PC,14.8067,2458469.057251,1.631828231988,1.2668494477595,14067.419379422,11.5558042584062,806.9778488133,1359.36208647729,939.127,5084.0,4.48093,0.942521989345551,1
PC,10.0614,2458419.367318,11.9234819437747,3.24105920756604,680.803264298586,2.29040531538316,55.1644235178957,695.07956488496,108.159,5465.0,4.57025,0.879477024078369,1
PC,10.0614,2458416.404536,40.8905116602099,4.44027909514634,945.199396465454,2.7104156534688,10.6667755153517,460.92263756344,108.159,5465.0,4.57025,0.879477024078369,1
PC,6.4386,2459514.088252,7.04916929989306,3.60843547808196,295.2279961647,2.87034038232491,489.633885522111,1199.74131861165,45.6181,6337.87,4.438,1.42717003822327,1
PC,6.4386,2458438.477114,3.04402807681572,1.35104331662672,72.408504888685,1.30892446526205,1500.1125656589,1587.26964840134,45.6181,6337.87,4.438,1.42717003822327,0
PC,11.6434,2458439.549649,3.34490399270253,1.34083490517831,1399.49505682989,2.25405324900739,48.9314538419313,674.554089377276,75.9623,3883.0,4.71022,0.573952972888947,1
PC,10.4397,2458524.13957,731.9380939054,3.74064861947659,3290.07055221807,6.56568924118916,10.8794710958087,463.203353825937,157.152,5383.0,4.42352,0.983025014400482,1
PC,10.027,2460037.566059,1.4687087,0.87,1475.0,5.20197,745.344,1455.0,193.468,5973.0,4.27298,1.31,1
PC,9.5518,2459987.631036,1.5498371,2.703,3879.0,18.2,180225.0,5740.0,346.494,11159.0,4.51,1.58,0
PC,9.5287,2460013.350692,1.3891689,1.675,696.0,6.01556,84020.4,4743.0,434.207,10585.0,4.35,1.84,0
PC,9.3761,2460002.878449,6.5604227,1.028,4049.0,11.1988,227.331,1081.0,354.432,10902.0,4.42,1.72,0
PC,9.9223,2460009.873434,3.477756,1.999,1177.0,11.3342,379.541,1229.0,409.766,6221.0,3.53,3.1,0
PC,9.74179,2459979.978617,16.1798045,6.495,2249.0,7.89958,131.122,942.0,205.924,5900.8,4.04,1.63,1
PC,10.4259,2459983.664716,3.1471655,3.402,1440.0,5.30134,3942.66,2207.0,97.3234,4869.0,4.54,0.79,0
PC,10.1939,2459987.158093,0.9136081,1.099,1368.0,5.5813,5597.87,2409.0,292.623,7126.0,4.29,1.5,0
PC,10.1277,2459972.603908,7.7614672,4.156,3110.0,7.85756,405.393,1250.0,234.072,6515.0,4.25,1.43,1
PC,9.4247,2459202.167074,2.27850940823965,2.03710508949746,1678.48952994816,12.4741390075208,17338.2105076327,2926.65019860997,472.224,8550.0,3.93,2.62521,0
PC,10.0461,2459202.578306,0.93584982597009,1.63008409081372,1939.86140965398,17.3496655356321,24855.2646173672,3202.3909321225,430.622,6779.0,3.83,2.43259,0
PC,12.2255,2459576.067923,1.5275657,1.12,2830.0,2.37126,53.3454,752.0,57.7553,3433.0,4.89676,0.43,1
PC,9.5359,2460030.273032,4.7192734,1.301,1557.0,7.15211,156.343,985.0,212.005,6521.0,4.22041,1.6,0
PC,10.245,2460030.273214,4.7192771,1.594,2856.0,9.68968,515.984,1327.0,245.318,5990.0,4.00966,1.42,1
PC,11.7602,2458544.388969,2.59890522847326,1.59079924745746,1958.75929884354,2.28800991437594,48.461479402516,672.92849150831,64.2308,3719.0,4.76941,0.512360990047455,1
PC,11.7602,2458543.404532,4.6955673072555,1.93845129583399,2013.37993839706,2.41507913157991,22.0224938847338,552.505205428222,64.2308,3719.0,4.76941,0.512360990047455,1
PC,11.7602,2458547.110793,7.10274666146155,2.14993803516237,1430.81709174585,1.94990224504174,12.6828101671238,481.308600987307,64.2308,3719.0,4.76941,0.512360990047455,1
PC,10.1755,2460013.733784,3.9451359,2.424,841.0,2.51666,286.87,1146.0,142.867,5581.9,4.13,0.99,1
PC,11.6739,2458546.479982,3.6335735388124,1.78090766973933,8659.56899295867,5.09241464006768,33.4742849468177,613.475999331427,66.9071,3765.0,4.75169,0.544067978858948,1
PC,13.4629,2458544.343207,2.150451,1.573366,8299.629504,10.472779,759.992848721814,1339.12810836643,758.199,5430.0,4.41381,1.00073,1
PC,10.9162,2459297.450326,11.3298682579611,4.24107862987163,856.113768773249,3.2180275357584,100.705665889329,807.947657137425,205.847,5624.0,4.39124,1.057000041008,1
PC,10.6845,2458530.698459,15.7784931341825,3.38574056241309,6805.62755796185,18.2872401266448,342.245945890863,1096.99419056812,421.349,7447.0,3.79,1.68980002403259,0
PC,9.8532,2460015.416494,19.8507621,2.249,1766.0,8.778562,48.5274863869263,673.157515217857,2228.79,9488.0,4.07548,2.35947,0
PC,9.9362,2458492.219912,3.51377669195457,1.68848335866764,329.730991366451,3.1403258128698,1686.82650234756,1634.50914020404,255.337,6279.8,4.26,1.59007000923157,0
PC,9.8445,2459977.554802,36.299512914018,4.43339226285823,1322.24727455405,2.21150069063929,3.16978196008611,340.311869583281,42.4467,4253.9,4.57,0.617519021034241,1
PC,10.749,2459372.478468,21.3765763,4.15,580.0,2.06275,28.8585,645.0,144.045,5591.0,4.38111,0.81,1
PC,10.4276,2458414.562933,4.96520685527644,0.936152358432916,633.058084917184,0.856692464166333,10.8558881982889,462.952133709335,19.8782,3450.0,4.89044,0.338189989328384,1
PC,12.1293,2459385.015742,15.0867026780869,2.10820184410743,1933.78982698641,2.10234480180571,3.57058552199631,350.594105024992,63.3731,3570.0,4.83196,0.471841990947723,1
PC,9.8106,2460019.89519,14.8011429,3.296,322.0,2.4692,66.1434,794.0,193.29,6138.6,4.07,1.42,1
PC,9.8106,2459973.275901,33.633544,5.153,387.0,2.33353,25.1984,624.0,193.29,6138.6,4.07,1.42,1
PC,9.8106,2458374.209051,672.636623636504,7.48837686102179,423.126091776163,2.97498262299306,1.02630456308125,256.707652066893,193.29,6138.6,4.07,1.41864001750946,1
PC,11.8371,2458326.814129,3.56816145631998,1.45433444019436,926.650311869579,2.07013588000951,49.3632451281323,676.037325826325,84.4039,4015.0,4.61505,0.577735006809235,1
PC,10.2036,2459345.642084,8.67294678400904,3.05092974149864,789.629047265922,2.28271,114.265357873008,833.870088375403,120.984,5384.0,4.54758,0.91,1
PC,10.2036,2458370.301484,22.5683342411698,4.21715400902018,890.028031690501,2.479501,31.9254837113132,606.253307665985,120.984,5384.0,4.54758,0.852304,0
PC,11.4994,2458352.137139,47.0193802980247,5.70229836873676,1272.06664238958,3.12253171159462,8.64245544255502,437.299556461495,191.058,5249.18,4.68369,0.877876996994019,0
PC,8.3643,2458434.911525,719.038132676296,5.42440956718737,4851.40923374747,16.6333556993433,0.853831458788547,245.167437362561,94.697,5709.6,3.53,1.49810004234314,1
PC,10.0906,2458345.526667,52.799167320212,6.0159162417671,549.078785929731,2.39278161484891,10.9718741526616,464.183772688852,130.959,5409.22,4.46229,1.02101004123688,1
PC,13.987,2458399.221135,777.051674199127,4.3877266333807,7211.92648864213,1.33961015255259,70.1244991633937,738.05239299437,1350.32,50000.0,5.80276,0.146999999880791,0
PC,11.7481,2458329.912944,18.3841826816634,3.60243509885525,1060.87101156961,2.17640292055712,10.4112225198097,458.136803932655,118.28,4356.0,4.60471,0.68140697479248,0
PC,11.7481,2458342.544345,35.9427986144034,2.61940929576063,1154.59595547572,2.45361509651279,4.25871239684976,366.38638561321,118.28,4356.0,4.60471,0.68140697479248,1
PC,10.6925,2458346.706203,35.9995670780793,4.38098671713509,1120.08934333151,2.53925843518171,3.77882447535212,355.597688676773,69.3653,4316.7,4.60858,0.651075005531311,0
PC,10.6925,2458325.894837,1.87151389723897,1.01619956141695,255.364732781043,1.11348079573232,194.758168528112,952.782276845651,69.3653,4316.7,4.60858,0.651075005531311,1
PC,11.5436,2459355.443079,4.3239398,1.372,900.0,1.48051,16.8196,564.0,53.8473,3782.0,4.438,0.47,1
PC,11.5436,2458419.107846,10.17752525533,2.09282094503565,953.678712016812,1.55389392265953,7.59293770339758,423.372074552016,53.8473,3782.0,4.438,0.473141014575958,1
PC,13.5308,2458327.551316,19.2879717386223,2.09231852927213,4598.48162560705,1.59466430725686,0.721286413001522,235.042656745976,42.4048,3075.0,4.438,0.229824006557465,1
PC,10.1805,2459972.526207,12.2877081,4.453,309.0,2.06797,131.131,942.0,206.294,6008.62,4.21807,1.3,1
